Number,Project Title,Donor (s),Status,Start Date,End Date,Country,Ocean-based Region,Beneficiaries ,Implementing Agency,Total Project Cost,Co-funding entities,Category,Team Leader,Further Information
206,Education and Organizing  in Indigenous Maya  Communities in Southern  Belize in the Aftermath  of Court of Appeals  Judgment 2013,Oak Foundation,Closed,2013,2014,Belize,Pacific Ocean,,,"US$ 51,871",,Law Enforcement (LE),,
207,"Strengthening  Governance for Marine  Conservation  Organizations in  Belize—Through Effective  Organizations, Strategic  Interventions.",Oak Foundation,Closed,2016,2016,Belize,Pacific Ocean,,,"US$ 95,000",,Promoting sustainable living and alternative livelihoods (SL),,www.hiponline.org
208,“Without Distinction:  Human Rights for All”,Oak Foundation,Closed,2011,2014,Belize,Pacific Ocean,,,"US$ 125,000",,Policy and Legislation (PL),,
209,Global Assessment for  Small Scale Fisheries,Oak Foundation,Progress Report,2016,2017,USA,Atlantic Ocean/ Pacific Ocean,,,"US$ 149,992",,Fisheries Management,,www.duke.edu
210,Review of the Belize  Climate Adaptation  Initiative,Oak Foundation,Closed,2014,2015,Belize,Pacific Ocean,,,"US$ 100,000",,Climate Change Resilience,,RedstoneStrategy.com
211,Campaign to Ban  Offshore Drilling in Belize,Oak Foundation,Closed,2011,2014,Belize,Pacific Ocean,,,"US$ 837,225",,Policy and Legislation (PL),,www.oceana.org
212,Campaign to Ban  Offshore Oil Drilling in  Belize,Oak Foundation,Progress Report,2015,2017,Belize,Pacific Ocean,,,"US$ 850,000",,Policy and Legislation (PL),,www.oceana.org
213,Protecting and  Sustainably Managing  Belize's Turneffe Atoll,Oak Foundation,Closed,2011,2016,Belize,Pacific Ocean,,,"US$ 300,000",,Marine Protected Areas (PA) management,,www.turneffeatoll.org
214,Bridge Grant,Oak Foundation,Closed,2012,2013,Belize,Pacific Ocean,,,"US$ 75,000",,Marine Protected Areas (PA) management,,
215,Strengthening High Seas Governance,Pew Charitable Trusts/ Oceans5,Closed,2012,2015,Global,Global,,,"US$ 1,000,000",,Marine Protected Areas (PA) management,,http://oceans5.org/project/strengthening-high-seas-governance/
216,Sustainable Management of the Shared Marine Resources of the Caribbean Large Marine Ecosystem (CLME) and Adjacent Regions,GEF Trust Fund,Closed,2008,2013,Regional,International Waters,,"United National Development Programme; UNOPS,; IOC-UNESCo","US$ 55,318,063","Project Grant - US$ 718,836; GEF Grant - US$ 7,008,116; GEF Fees - US$ 772,695; Co-financing - US$ 47,591,111",Promoting sustainable living and alternative livelihoods (SL),,https://www.thegef.org/project/sustainable-management-shared-marine-resources-caribbean-large-marine-ecosystem-clme-and
217,"Community based coral reef monitoring - Folkstone Marine Park and Reserve, Barbados",GEF Small Grants Programme/ UNDP,Closed,2005,2010,Barbados,Atlantic Ocean,,Caribbean Conservation Association,"US$ 75,376","Grant - US$ 39,376; Co-financing - US$ 26,000",Monitoring and Research,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9054&Itemid=272
218,Encouraging sustainable use of coral reef ecosystem goods and services and increased resilience to climate change in Small Island Developing States,GEF Small Grants Programme,Closed,2014,2015,Bahamas,Atlantic Ocean,,Bahamas Reef Environment Educational Foundation,"US$ 275,000","Grant - US$ 150,000; Co-financing - US$ 125,000",Climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20695&Itemid=272
219,"Climate change mitigation through utilization of solar energy, organic farming technique and agro-forestry practice",GEF Small Grants Programme,Closed,2013,2015,Zimbabwe,Indian Ocean,,ACTION 24,"US$ 134,500","Grant - US$ 50,000; Co-financing - US$ 84,500",Climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20959&Itemid=272
220,Knowledge Fair for GEF SGP 20 years celebrations in Mauritius,GEF Small Grants Programme,Closed,2015,2015,Mauritius,Indian Ocean,,Eco-Sud,"US$ 43,984","Grant - US$ 5,000; Co-financing - US$ 38,984",Communications and awareness,Alain de Falbaire,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23047&Itemid=272
221,LAGON BLEU - Preservation of the Marine and Coastal Ecosystem of Blue Bay and Pointe d'Esny,GEF Small Grants Programme,Closed,2010,2012,Mauritius,Indian Ocean,,Eco-Sud,"US$ 102,978","Grant - US$ 50,000; Co-financing - US$ 52,978",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15020&Itemid=272
222,Promoting mangrove ecosystem health and fisheries diversity in the Orange Bay Fish Sanctuary,GEF Small Grants Programme,Closed (before completion),2013,2015,Jamaica,Indian Ocean,,Rural Environment Alliance Limited,"US$ 133,100","Grant - US$ 50,000; Co-financing - US$ 83,100",Communications and awareness,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21072&Itemid=272
223,"Community-based conservation and sustainable harvesting of land crab of Cu Lao Cham, Quang Nam",GEF Small Grants Programme,Closed,2009,2012,Vietnam,Pacific Ocean,,"The Farmers' Union of Tan Hiep Commune, Hoi An City, Quang Nam Province","US$ 105,353","Grant - US$ 50,000; Co-financing - US$ 55,353",Promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14435&Itemid=272
224,West Coast Marine Environment Protection,GEF Small Grants Programme,Closed,2008,2012,Mauritius,Indian Ocean,,Association Pour l'Environnement Marin de l'Ouest,"US$ 65,275","Grant - US$ 50,000; Co-financing - US$ 15,275",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12911&Itemid=272
225,Protection and conservation of coastal fisheries to improve community fisheries livelihood,GEF Small Grants Programme,Closed,2013,2015,Cambodia,International Waters,,Angkol Community Fisheries,"US$ 57, 258","Grant US$ 40,620; Co-financing - US$ 16,638",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20757&Itemid=272
226,BIOT Science Programme,The Bertarelli Foundation,Closed,2013,2016,BIOT,Indian Ocean,Various academic institutions,The Bertarelli Foundation,"$3,000,000 USD",,Monitoring and Research,Damian Jensen (damian.jensen@fondation-bertarelli.org),"The Bertarelli Foundation supported a series of scientific expeditions to the British Indian Ocean Territory to investiagte the physical and biological characteristics of the marine environment.  Specific to coral reefs, investigations were carried out to consider the extent to which the Chagos Archipelago is affetced by risging sea temperatures and coral bleaching events.  "
227,"""From Ridge to Reef"" : The totality of mangrove forest management strategy in Selat Nasik Island, as efforts to integrating and sustaining the ecosystems management of the Islands and its life resources",GEF Small Grants Programme,Closed,2013,2015,Indonesia,Pacific Ocean,,Komunitas Sahabat Alam,"US$ 56,138","Grant - US$ 20,000; Co-financing - US$ 36,138",Promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20134&Itemid=272
228,Adapting to climate change in the community of Calibishie by increasing community resilience to flooding and sea level rise,GEF Small Grants Programme,Closed,2013,2013,Dominica,Atlantic Ocean,,Calibisihie Progressive Group,"US$ 9,000","Grant - US$ 2,500; Co-financing - US$ 5,500",Climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20737&Itemid=272
229,Improving management effectiveness for the Marine Protected Areas of Rodrigues,GEF Small Grants Programme,Closed,2010,2012,Mauritius,Indian Ocean,,The Shoals Rodrigues Association,"US$ 139,769","Grant - US$ 47,010; Co-financing - US$ 92,759",Marine Protected Areas (PA) management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16198&Itemid=272
230,Strengthening CSO participation and local stakeholders' capacity to mainstream environmental aspects in the development of five-year socio-economic plans in selected coastal central provinces,GEF Small Grants Programme,Closed,2009,2011,Vietnam,Pacific Ocean,,Centre for Marine Life Conservation and Community Development,"US$ 88,478","Grant - US$ 50,000; Co-financing - US$ 38,478",Monitoring and Research,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14438&Itemid=272
231,Providing hands-on learning experiences for students at the Southern MPAs within the Belize Barrier Reef Reserve System - World Heritage Site,GEF Small Grants Programme,Closed,2009,2010,Belize,Pacific Ocean,,Southern Environmental Association,"US$ 101,074","Grant - US$ 46,845; Co-financing - US$ 54,229",Communications and awareness,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14174&Itemid=272
232,"Natural resources conservation through community-based ecotourism in Maratua, Berau District, East Kalimantan",GEF Small Grants Programme,Closed,2013,2014,Indonesia,Pacific Ocean,,KSM Da'kayu Akkal Maratua,"US$ 66,736","Grant - US$ 30,000; Co-financing - US$ 36,736",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19479&Itemid=272
233,"Ordenamiento Sostenible de Turismo de Yates, Veleros en la Zona Costera de la Comarca de Kuna Yala",GEF Small Grants Programme,Closed,2009,2010,Panama,Pacific Ocean,,Asociacion Kunas Unidos por Napguana,"US$ 25,470","Grant - US$ 2,000; Co-financing - US$ 23,470",Promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13302&Itemid=272
234,Strengthening environment protection governance system for Semau community,GEF Small Grants Programme,Closed,2014,2015,Indonesia,Pacific Ocean,,Perkumpulan PIKUL,"US$ 100,210","Grant - US$ 50,000; Co-financing - US$ 50,210",Policy and Legislation (PL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21939&Itemid=272
235,"Community integration in marine conservation, research and management through the establishment of voluntary marine conservation areas",GEF Small Grants Programme,Closed,2012,2014,Mauritius,Indian Ocean,,Reef Conservation (formerly Marine Conservation Management Consortium),"US$ 201,319","Grant - US$ 50,000; Co-financing - US$ 151,319",communications and awareness,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17781&Itemid=272
236,"Strengthening stakeholder engagement to promote a positive environment for conservation and sustainable development activities in Sarteneja, a key stakeholder of the Belize Barrier Reef Reserve System - World Heritage Site",GEF Small Grants Programme,Closed,2011,2013,Belize,Pacific Ocean,,Sarteneja Alliance for Conservation and Development,"US$ 73,645","Grant - US$ 50,000; Co-financing - US$ 23,645",communications and awareness,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17386&Itemid=272
237,Building network for conservation of Ao Baan Don,GEF Small Grants Programme,Closed,2009,2011,Thailand,Indian Ocean,,Ao Baan Don Conservation Network,"US$ 55,625","Grant - US$ 35,060; Co-financing - US$ 20,565",conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13869&Itemid=272
238,Reforestation of mangrove trees for improving local livelihood,GEF Small Grants Programme,Closed,2008,2010,Cambodia,Indian Ocean,,Choring Horn Community Fisheries Coastal Resources Protection,"US$ 38,763","Grant - US$ 26,413; Co-financing - US$ 12,350",conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12882&Itemid=272
239,Sustainable Utilization of Natural Resources and Community-Based Monitoring of Coastal and Marine Area in Wakatobi National Park,GEF Small Grants Programme,Closed,2013,2014,Indonesia,Pacific Ocean,,One Moolu,"US$ 29,420","Grant - US$ 20,000; Co-financing - US$ 9,420",promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19517&Itemid=272
240,Assessment Sea Scape Management in Nusa Tenggara Timur,GEF Small Grants Programme,Closed,2013,2014,Indonesia,Pacific Ocean,,Perkumpulan Bingkai Indonesia,"US$ 50,257","Grant - US$ 25,000; Co-financing - US$ 25,527",monitoring and Research,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20828&Itemid=272
241,Collective management and conservation of coastal resources of Trad Province,GEF Small Grants Programme,Closed,2009,2011,Thailand,Indian Ocean,,Six-Tambol Network for Collective Coastal Management in Trad Province,"US$ 478,435","Grant - US$ 38,155; Co-financing - US$ 440,280",marine Protected Areas (PA) management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13868&Itemid=272
242,Supporting infrastructure towards the establishment of a special fishery conservation area in Portland,GEF Small Grants Programme,Closed,2014,2016,Jamaica,Indian Ocean,,Portland Environment Protection Association,"US$ 87,999","Grant - US$ 50,000; Co-financing - US$ 37,999",fisheries Management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22479&Itemid=272
243,Renewable energy PV system installation on Aride Island special reserve,GEF Small Grants Programme,Closed,2013,2015,Seychelles,Indian Ocean,,Island Conservation Society,"US$ 108,265","Grant - US$ 50,000; Co-financing - US$ 58,265",promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18880&Itemid=272
244,Fagamalo Community based adaption against flooding and sea level rise,GEF Small Grants Programme,Closed,2009,2011,Samoa,Pacific Ocean,,Alii ma Faipule Fagamalo,"US$ 75,000","Grant - US$ 25,000; Co-financing - US$ 50,000",climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14814&Itemid=272
245,Empowering the SEMPA fisher community through eco-tourism development,GEF Small Grants Programme,Closed,2009,2010,Mauritius,Indian Ocean,,"Association des Pecheurs du Parc Marin du Sud, Rodrigues","US$ 67,784","Grant - US$ 49,959; Co-financing - US$ 17,825",Fisheries Management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14364&Itemid=272
246,Community-based reef rehabilitation in Trou aux Biches,GEF Small Grants Programme,Closed,2013,2014,Mauritius,Indian Ocean,,ELI Africa,"US$ 61,661","Grant - US$ 50,000; Co-financing - US$ 11,661",communications and awareness,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19281&Itemid=272
247,The utilisation of marine ornamental fish and the development of livelihood through community income alternative within habitat conservation and rehabilitation framework,GEF Small Grants Programme,Closed,2009,2011,Indonesia,Pacific Ocean,,Lembaga Pengelola Sumberdaya Terumbu Karang (LPSTK) Desa BENAN,"US$ 50,553","Grant - US$ 19,000; Co-financing - US$ 31,553",promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14699&Itemid=272
248,Education and awareness on climate change and coastal management and use of sustainable renewable energy and Akhamb Island,GEF Small Grants Programme,Closed,2009,2010,Vanuatu,Pacific Ocean,,Vanuatu Renewable Energy and Power Association,"US$ 46,630","Grant - US$ 37,630; Co-financing - US$ 9,000",climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14002&Itemid=272
249,Conserving Abaco's lobster populations by training fishermen in sustainable catch workshops,GEF Small Grants Programme,Closed,2011,2012,Bahamas,Atlantic Ocean,,Friends of the Environment," US$ 101,317","Grant - US$ 34,579; Co-financing - US$ 66,738",fisheries Management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16830&Itemid=272
250,Creating renewable energy from waste vegetable oil (bio-diesel),GEF Small Grants Programme,Closed,2012,2014,Jamaica,Indian Ocean,,Jam UK Charitable Organization Limited,"US$ 110,555","Grant - US$ 50,000; Co-financing - US$ 61,555",monitoring and Research,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18365&Itemid=272
